Term,Definition,Source
event chronicle,A table that stores event state information.,https://damanhour.edu.eg/
event chronicle rule,One or more Transact-SQL statements that manage the data in,https://damanhour.edu.eg/
event class,"In SQL Trace, a collection of properties that define an event.",https://damanhour.edu.eg/
Event class,The class that indicates whether an event is a ‘.NET,https://damanhour.edu.eg/
event classification,A means of differentiating types of events that occur on the,https://damanhour.edu.eg/
event collection stored procedures,System-generated stored procedures that an,https://damanhour.edu.eg/
event consolidation,A feature that combines multiple events into one event. The,https://damanhour.edu.eg/
event consumer,A recipient of notifications that report an occurrence of an event. An,https://damanhour.edu.eg/
event consumer provider,A provider that determines which permanent event,https://damanhour.edu.eg/
Event Data Recorder,"A tool that captures error report data, such as information",https://damanhour.edu.eg/
event filter,A filter that registers to receive notification of a specific type of event.,https://damanhour.edu.eg/
event framework,"The combination of runtime event processing, support programs,",https://damanhour.edu.eg/
event handler,A software routine that executes in response to an event.,https://damanhour.edu.eg/
event header,The portion of an event that defines the temporal properties of the,https://damanhour.edu.eg/
Event Hub throughput unit,The amount of messages processed/ingested per,https://damanhour.edu.eg/
Event Hubs,A managed platform service that acts as the -€œfront door-€? for an,https://damanhour.edu.eg/
event kind,Event metadata that defines the event type.,https://damanhour.edu.eg/
event listener,A function or object that invokes an event handler when a specific,https://damanhour.edu.eg/
event log,A record of activities on a computer system. Events can include attempts to,https://damanhour.edu.eg/
Event Log service,"A service that records events in the system, security, and",https://damanhour.edu.eg/
event logging,The process of recording an audit entry in the audit trail whenever,https://damanhour.edu.eg/
event model,The event metadata that defines the temporal characteristics (shape) of,https://damanhour.edu.eg/
event notification,A special kind of trigger that sends information about database,https://damanhour.edu.eg/
event payload,The data portion of an event in which the data fields are defined as,https://damanhour.edu.eg/
event procedure,A procedure that is automatically executed in response to an event,https://damanhour.edu.eg/
event property,"A named attribute of a control, form, report, data access page, or",https://damanhour.edu.eg/
event provider,A provider that monitors a source of events and notifies the event,https://damanhour.edu.eg/
event publisher,"An application, service, or driver that creates an event and delivers it",https://damanhour.edu.eg/
event query,A WMI Query Language statement that event consumers use to register,https://damanhour.edu.eg/
event registration,An item that resides in a folder that uses an event sink. The item,https://damanhour.edu.eg/
event registration item,"A hidden item that contains information about an event sink,",https://damanhour.edu.eg/
event routing,"In Windows Presentation Foundation and Silverlight, the movement of",https://damanhour.edu.eg/
event source,The point of origin of an event.,https://damanhour.edu.eg/
event table,A table in the application database that stores event data.,https://damanhour.edu.eg/
event throttling,Constraining the rate at which events are sent to the APM service to,https://damanhour.edu.eg/
Event Trace for Windows,"A general-purpose, high-speed tracing feature of",https://damanhour.edu.eg/
Event Tracing for Windows,"A general-purpose, high-speed tracing feature of",https://damanhour.edu.eg/
Event Tracing for Windows -based log sink,A means of capturing trace,https://damanhour.edu.eg/
event trigger,The mechanism by which a system or application event triggers either,https://damanhour.edu.eg/
event type,"The event- type for a performance- event is ‘information’, and the event",https://damanhour.edu.eg/
Event view,The Operations console pane that displays specified events in the,https://damanhour.edu.eg/
Event Viewer,"A component you can use to view and manage event logs, gather",https://damanhour.edu.eg/
event-based asynchronous pattern,A design pattern that uses events to expose,https://damanhour.edu.eg/
Events,The link to the online shared event organiser on Windows Live Events.,https://damanhour.edu.eg/
events and attractions,A sub-heading in Local Scout. Events are activities in the,https://damanhour.edu.eg/
Every Product Every,A Lean- concept- that is used to establish- a regular,https://damanhour.edu.eg/
Everyone,A type of user account.Everyone (n)~ A game rating symbol developed by the Entertainment Software Rating,https://damanhour.edu.eg/
EVERYONE,A content descriptor developed by the Computer Entertainment Rating,https://damanhour.edu.eg/
Everyone 10 and older,A game rating symbol developed by the Entertainment,https://damanhour.edu.eg/
Everyone 10+,A game rating symbol developed by the Entertainment Software,https://damanhour.edu.eg/
evict,"To place a windows Live ID in a forced rename state, while the Windows Live",https://damanhour.edu.eg/
eviction,The physical removal of a cached object from the memory of the cache host,https://damanhour.edu.eg/
evidence,"The properties of code, such as a digital signature or the zone or site of its",https://damanhour.edu.eg/
EWM,An enhanced 32-bit vector graphics format for Windows-compatible,https://damanhour.edu.eg/
exabyte,"Approximately one quintillion bytes, or one billion billion bytes.",https://damanhour.edu.eg/
exact cost reversing,"The reversal of an inventory transaction, using the same cost for",https://damanhour.edu.eg/
exact word extraction dictionary,A custom extraction dictionary that lists words or,https://damanhour.edu.eg/
exact word part extraction dictionary,A custom extraction dictionary that lists,https://damanhour.edu.eg/
Exactly N Matches,A menu item that allows the user to search for any pattern A,https://damanhour.edu.eg/
Excel,"The most popular- spreadsheet- program for PCs, part of the Microsoft Office",https://damanhour.edu.eg/
Excel 2016,The year 2016 edition of Excel.,https://damanhour.edu.eg/
Excel 2016 for Mac,The year 2016 edition of Excel for Mac.,https://damanhour.edu.eg/
Excel add-in,Components that can be installed on your computer to add commands,https://damanhour.edu.eg/
ins.Excel Calculation Server,The core component of the Excel Server that includes the,https://damanhour.edu.eg/
Excel Calculation Services,"The main Excel Services component, which loads the",https://damanhour.edu.eg/
Excel Cube Functions,Functions used to extract and display OLAP data (sets and,https://damanhour.edu.eg/
Excel for Android,The version of Excel that runs on the Android operating system.,https://damanhour.edu.eg/
Excel for iPad,The version of Excel that runs on iPad.,https://damanhour.edu.eg/
Excel for Mac,The version of Excel that runs on the Mac operating system.,https://damanhour.edu.eg/
Excel for Mac for Office 365,The version of Excel from Office 365 that runs on,https://damanhour.edu.eg/
Excel for Mac Preview,The public preview for Excel for Mac.,https://damanhour.edu.eg/
Excel interactive view,An online view of data that provides an enhanced visual,https://damanhour.edu.eg/
Excel Mobile Viewer,A viewer that allows users to display Excel workbooks on a,https://damanhour.edu.eg/
Excel Online Viewer,An Excel Web App technology that enables users to view in,https://damanhour.edu.eg/
Excel Services,"A server technology enabling users to load, calculate, and display",https://damanhour.edu.eg/
Excel table,A range of cells in a worksheet that has been formatted as a table and can,https://damanhour.edu.eg/
Excel Web Services,The Excel Services component that provides programmatic,https://damanhour.edu.eg/
Excel XML Format,The formal name for Excel 12 file format. The Excel XML,https://damanhour.edu.eg/
exception,An abnormal condition or error that occurs during the execution of a,https://damanhour.edu.eg/
Exception Assistant,A Visual Studio debugging tool that provides information about,https://damanhour.edu.eg/
exception event,A diagnostic event in IntelliTrace that occurs within the Visual,https://damanhour.edu.eg/
exception events,Critical application and system errors. Application PerformanceMonitoring (APM) defines critical errors as being those that lead to a monitored,https://damanhour.edu.eg/
exception handler,A block of code that reacts to a specific type of exception.,https://damanhour.edu.eg/
exception report,A report that shows the general ledger account balances that were,https://damanhour.edu.eg/
exception string,A string that contains information about an abnormal condition or,https://damanhour.edu.eg/
exceptional threshold,The maximum limit of an individual transaction value that is a,https://damanhour.edu.eg/
EXCH50 binary large object,"A set of properties, generated and managed by",https://damanhour.edu.eg/
EXCH50 BLOB,"A set of properties, generated and managed by Exchange Server,",https://damanhour.edu.eg/
exchange,"To provide Wi-Fi credentials to Outlook.com contacts, Skype contacts, and",https://damanhour.edu.eg/
Exchange,"A marketplace in which securities, commodities, derivatives, and other",https://damanhour.edu.eg/
Exchange ActiveSync,A protocol that makes it possible for users to sync their e-,https://damanhour.edu.eg/
exchange adjustment,The process of recalculating an account balance to reflect a,https://damanhour.edu.eg/
Exchange admin center,A web-based management tool for Microsoft Exchange,https://damanhour.edu.eg/
Exchange Administration Center,A web-based management tool for Microsoft,https://damanhour.edu.eg/
Exchange administrator,The administrator account with privileges to administer,https://damanhour.edu.eg/
Exchange by Phone,A feature that allows a Unified Messaging-enabled user to,https://damanhour.edu.eg/
Exchange Conferencing Services,A service that allows users to meet in virtual,https://damanhour.edu.eg/
Exchange Control Panel,A web-based management tool for Microsoft Exchangeadministrators and enterprise e-mail users.,https://damanhour.edu.eg/
Exchange Enterprise CAL Services  for Government,The offer for,https://damanhour.edu.eg/
Exchange Fast Access,A feature that enables Exchange users to see new email,https://damanhour.edu.eg/
Exchange Hosted Services,Hosted spam and virus filtering from an Exchange,https://damanhour.edu.eg/
Exchange hybrid deployment,A connection established between on-premises and,https://damanhour.edu.eg/
Exchange Management Console,The Exchange 2007 graphical user interface (GUI),https://damanhour.edu.eg/
Exchange Management Shell,A command-line interface and associated command-,https://damanhour.edu.eg/
Exchange Online,The offer for government,https://damanhour.edu.eg/
Exchange Online  for Government,The offer for government,https://damanhour.edu.eg/
Pricing),The offer for government organizations for Exchange Online Archiving,https://damanhour.edu.eg/
Exchange Online Archiving  for Exchange Server,,https://damanhour.edu.eg/
Exchange Online Archiving for Nonprofits,An offer from Microsoft Office 365,https://damanhour.edu.eg/
Exchange Online Kiosk,The offer for government,https://damanhour.edu.eg/
Exchange Online Protection,The stand-alone email filtering service for customers,https://damanhour.edu.eg/
Exchange Online Protection for Government,The offer for government,https://damanhour.edu.eg/
Exchange Organization Administrators role,One of four Exchange 2007,https://damanhour.edu.eg/
exchange rate,The rate at which the currency of one country or region can be traded,https://damanhour.edu.eg/
exchange rate adjustment,A modification to a converted monetary amount when the,https://damanhour.edu.eg/
exchange rate type,A classification that groups exchange rates.,https://damanhour.edu.eg/
Exchange Recipient Administrators role,One of four Exchange 2007 administrator,https://damanhour.edu.eg/
Exchange Server,Microsoft client/server messaging and collaboration software.,https://damanhour.edu.eg/
Exchange server,A server that has Microsoft Exchange Server installed.,https://damanhour.edu.eg/
Exchange Server Administrators role,One of four Exchange 2007 administrator,https://damanhour.edu.eg/
Exchange Server connector,A Configuration Manager technology that connects to,https://damanhour.edu.eg/
Exchange services,Exchange-specific services that run on a server that has Microsoft,https://damanhour.edu.eg/
Exchange store,A storage platform that provides a single repository for managing,https://damanhour.edu.eg/
Exchange System Manager,A collection of Microsoft Management Console (MMC),https://damanhour.edu.eg/
snap-ins that Microsoft Exchange provides.Exchange View-Only Administrators role,One of four Exchange 2007,https://damanhour.edu.eg/
Exchange Web Services,A set of features that provides a programming interface for,https://damanhour.edu.eg/
Exchangeable Image File Format,"A standard for storing metadata, e.g. shutter",https://damanhour.edu.eg/
exclamation point,The ! character.,https://damanhour.edu.eg/
Exclude Author,Feature to remove specific publishers from the acquisition.,https://damanhour.edu.eg/
exclude dictionary,A dictionary with words that the main dictionary recognizes as,https://damanhour.edu.eg/
exclude overlap,To combine two or more shapes or paths to result in a single,https://damanhour.edu.eg/
Excluded sources,The list in the Settings area that shows the domains and,https://damanhour.edu.eg/
Excluded terms,List of words or phrases that are excluded from the analysis. The,https://damanhour.edu.eg/
exclusion,Term or sentence that must not appear in conjunction with a search phrase.,https://damanhour.edu.eg/
exclusion interval,The amount of time that an unresponsive or malfunctioning,https://damanhour.edu.eg/
exclusion list,A set of files or processes that will be factored out from a certain,https://damanhour.edu.eg/
exclusion range,A small range of one or more IP addresses within a DHCP scope,https://damanhour.edu.eg/
exclusions,A Windows feature (in CSS) that allows web designers and developers,https://damanhour.edu.eg/
exclusive,Pertaining to a type of access to data in a database that is shared over a,https://damanhour.edu.eg/
exclusive lock,A lock that prevents any other transaction from acquiring a lock on a,https://damanhour.edu.eg/
exe,"(EXEcutable; pr. ‘exie’, ‘dot exie’ ) A- file- which is usually the main part",https://damanhour.edu.eg/
executable,"Of, pertaining to, or being a program file that can be run. Executable",https://damanhour.edu.eg/
"files have extensions such as .bat, .com, and .exe.executable",A file in portable executable (PE) file format that can be loaded into,https://damanhour.edu.eg/
executable file,A file in portable executable (PE) file format that can be loaded into,https://damanhour.edu.eg/
executable folder,A folder in a Web site from which scripts and executable programs,https://damanhour.edu.eg/
executable image,A program that can be run at the command line.,https://damanhour.edu.eg/
execute,To perform an instruction.,https://damanhour.edu.eg/
execute buffer,"A fully self-contained, independent packet of information that",https://damanhour.edu.eg/
execution context,"In the Concurrency Runtime, an abstraction of an operating",https://damanhour.edu.eg/
execution cycle,"The assertion of facts, evaluation of conditions, and execution of",https://damanhour.edu.eg/
Execution Plan pane,One of the tabs that hosts the output for an estimated or actual,https://damanhour.edu.eg/
execution tree,The path of data in the data flow of a SQL Server 2005 Integration,https://damanhour.edu.eg/
executive planner,The employee who is responsible for the overall sales and,https://damanhour.edu.eg/
executive resource,A resource that is designed for use with data structures that,https://damanhour.edu.eg/
exempt ID,An identification number that is issued by a tax authority to indicate that a,https://damanhour.edu.eg/
exempt payee,An individual or entity that has no tax liability under US tax laws,https://damanhour.edu.eg/
exempt user agent,"A user agent, commonly a search bot, that can receive InfoPath",https://damanhour.edu.eg/
Exercise Tracker,"A feature that allows the user to track cardio activities, including",https://damanhour.edu.eg/
EXIF,"A standard for storing metadata, e.g. shutter speed and focal length, in image",https://damanhour.edu.eg/
exit,"In a program, to move from the called routine back to the calling routine. A",https://damanhour.edu.eg/
conditions.Exit,An item on the right-click menu for the Communicator icon that appears in the,https://damanhour.edu.eg/
exit animation effect,An animation effect that is applied to text or pictures exiting a,https://damanhour.edu.eg/
exit criteria,A set of circumstances that a product or service must meet before a,https://damanhour.edu.eg/
Exit HTML Source,An option that switches the view from the display of HTML,https://damanhour.edu.eg/
exit module,A Certificate Services component that performs post-processing after a,https://damanhour.edu.eg/
exit page,The last page a visitor sees before leaving a Web site.,https://damanhour.edu.eg/
exit plan,The plan developed for coping with the end of the contract — whether,https://damanhour.edu.eg/
expand,To display the subentries contained within a folder or outline view.,https://damanhour.edu.eg/
expand control,"A control that, when clicked, expands or collapses a grouped record",https://damanhour.edu.eg/
expand indicator,"A control that, when clicked, expands or collapses a grouped",https://damanhour.edu.eg/
expanded memory,Type of memory that can be added to IBM personal computers.,https://damanhour.edu.eg/
expanded screen mode,A visual setting that is similar to -€œstretch-€? - the,https://damanhour.edu.eg/
expansion card,A card that connects to an expansion bus and contains one or more,https://damanhour.edu.eg/
Expansion card,A circuitboard which can be plugged in to an expansion,https://damanhour.edu.eg/
expansion depth,The number of levels to which a minimized hierarchical scorecard,https://damanhour.edu.eg/
expansion slot,"A socket in a computer, designed to hold expansion boards and",https://damanhour.edu.eg/
expansive stemming,The process of expanding stems (root forms of words) to their,https://damanhour.edu.eg/
expected deployment results,The complete deployment information associated with,https://damanhour.edu.eg/
expected duration,"The total span of active working time expected for a task, that is,",https://damanhour.edu.eg/
expected purchase order net amount,The anticipated currency amount for a,https://damanhour.edu.eg/
expected revenue,The amount of money an opportunity is expected to generate.,https://damanhour.edu.eg/
Expedited Forwarding,A class for the delivery of audio media streams.,https://damanhour.edu.eg/
expenditure,A cost or expense that is expended during an accounting period.,https://damanhour.edu.eg/
expenditure cycle,"A recurring set of procurement, receipt, payment, and transfer",https://damanhour.edu.eg/
expenditure recognition accounting rule,A recognition accounting rule that,https://damanhour.edu.eg/
expense,A cost incurred by a business in an attempt to obtain revenue.,https://damanhour.edu.eg/
expense deduction,Allowance under U.S. Tax Section 179 for expensing all or a,https://damanhour.edu.eg/
expense product,"A received product that is a current asset, not held for sale or",https://damanhour.edu.eg/
experience,A set of scenarios that lead to a desired outcome by a customer segment.,https://damanhour.edu.eg/
Expertise,The field in users’ Yammer profiles that allows them to list skills or,https://damanhour.edu.eg/
expiration,The point at which an object has exceeded the cache time-out value.,https://damanhour.edu.eg/
expiration date,The date on which something ceases to be effective.,https://damanhour.edu.eg/
Expiration Date option,An option on the Policy Filter page for setting an expiration,https://damanhour.edu.eg/
expire interval,"For DNS, the number of seconds that DNS servers operating as",https://damanhour.edu.eg/
expired virtual machine,A virtual machine that can no longer be managed by the,https://damanhour.edu.eg/
Explicit,"In Store, label for songs or videos whose content contains explicit",https://damanhour.edu.eg/
explicit cap,An explicit hierarchy used as the top level of a derived hierarchystructure.,https://damanhour.edu.eg/
Explicit Congestion Notification,"A frame relay network technology for, monitoring",https://damanhour.edu.eg/
explicit data context,A binding to a data source within the data context that is,https://damanhour.edu.eg/
explicit discovery,A feature that defines the logic for locating only the network,https://damanhour.edu.eg/
explicit hierarchy,"In Master Data Services, a hierarchy that uses consolidated",https://damanhour.edu.eg/
explicit interface implementation,The implementation of a class or structure,https://damanhour.edu.eg/
Explicit Language,A content descriptor developed by the Computer Entertainment,https://damanhour.edu.eg/
explicit loading,A pattern of loading where related objects are not loaded until,https://damanhour.edu.eg/
explicit permission,A type of object permission that is defined when the object is,https://damanhour.edu.eg/
explicit profiling,An information collecting process in which customers visiting a,https://damanhour.edu.eg/
explicit selection,A selection that a user intentionally makes with an input device.,https://damanhour.edu.eg/
explicit targeting,The process of delivering targeted content by using existing data,https://damanhour.edu.eg/
explicit transaction,A group of SQL statements enclosed within transaction,https://damanhour.edu.eg/
explode,To determine the total quantities of components needed for a manufactured,https://damanhour.edu.eg/
exploded doughnut chart,A doughnut chart that displays the contribution of each,https://damanhour.edu.eg/
exploded pie,A pie chart that displays the contribution of each value to a total while,https://damanhour.edu.eg/
exploded pie chart,A pie chart that displays the contribution of each value to a total,https://damanhour.edu.eg/
Exploding,A credit animation in Windows Movie Maker.,https://damanhour.edu.eg/
Exploding Outline,A title animation in Windows Movie Maker.,https://damanhour.edu.eg/
exploit,Malicious code that takes advantage of vulnerabilities in other software in,https://damanhour.edu.eg/
exploit vulnerability,The vulnerability that makes a computer susceptible to an,https://damanhour.edu.eg/
exploratory testing,The testing of an application without a set of tests defined in,https://damanhour.edu.eg/
explosion,The process of determing the total quantities of components needed for a,https://damanhour.edu.eg/
exponential moving average,A moving average of data that gives more weight to,https://damanhour.edu.eg/
exponential trendline,A curved trendline that is used when data values rise or fall at,https://damanhour.edu.eg/
exponentiation,"The operation in which a number is raised to a given power, as in 23.",https://damanhour.edu.eg/
export,"To output data and database objects to another database, spreadsheet, or file",https://damanhour.edu.eg/
Export,A report that lists all files under the specified namespace. A number of useful,https://damanhour.edu.eg/
Export Commodity Classification Number,A five character alpha-numeric,https://damanhour.edu.eg/
export format,UI text for subscriptions and HTML viewer. Corresponds to rendering,https://damanhour.edu.eg/
Export XML Wizard,A feature in Microsoft CRM Customization that exports,https://damanhour.edu.eg/
expose,To host and make available a Web service so that it can be used by other,https://damanhour.edu.eg/
exposure,The amount of light emitted onto a film or image sensor.,https://damanhour.edu.eg/
exposure bias,A control on most digital cameras that lets you control the under -or,https://damanhour.edu.eg/
exposure bias compensation,A control on most digital cameras that lets you control,https://damanhour.edu.eg/
exposure bracketing,A photographic technique of taking multiple photos of the,https://damanhour.edu.eg/
exposure compensation,A control on most digital cameras that lets you control the,https://damanhour.edu.eg/
under -or over- exposure of the image.exposure limit,The number of times a piece of content can be shown to a customer,https://damanhour.edu.eg/
exposure time,The amount of time a shutter is open during exposure to allow the,https://damanhour.edu.eg/
express full backup,A synchronization operation in which the protection agent,https://damanhour.edu.eg/
Express License description,A description of the Express license.,https://damanhour.edu.eg/
express message,"For Message Queuing, a message that uses fewer resources and is",https://damanhour.edu.eg/
Express Upgrade,The promotional program that encourages OEM Direct and SBC,https://damanhour.edu.eg/
express writer,A scheme for applications to only identify their components requiring,https://damanhour.edu.eg/
expression,"Any combination of operators, constants, literal values, functions, and",https://damanhour.edu.eg/
expression box,A control on a form that displays read-only data as the result of a,https://damanhour.edu.eg/
Expression Builder,A tool you use to create an expression. The Expression Builder,https://damanhour.edu.eg/
expression host assembly,All expressions found within a report are that are,https://damanhour.edu.eg/
expression store,The tables in a Commerce Server database that store expression,https://damanhour.edu.eg/
expression tree,A tree-form data representation of the structure of language-level,https://damanhour.edu.eg/
ExpressRoute,The Microsoft Azure service that enables users to create private,https://damanhour.edu.eg/
extended affinity,A type of client affinity that is preserved when configuring a,https://damanhour.edu.eg/
extended amount,The figure calculated by multiplying the quantity of a service or,https://damanhour.edu.eg/
extended character,Any of the 128 additional characters in the extended ASCII (8-,https://damanhour.edu.eg/
extended desktop,A computer desktop area that extends across all displays that are,https://damanhour.edu.eg/
connected to a computer.eXtended Development Environment,An extended development environment,https://damanhour.edu.eg/
extended form registration,A service from BGC that includes a supplementary,https://damanhour.edu.eg/
Extended Industry Standard Architecture,A bus standard for the connection of,https://damanhour.edu.eg/
extended key usage,An extended property value that specifies the uses for which a,https://damanhour.edu.eg/
extended member,A member that is added to a TypeName or MshObject instance by,https://damanhour.edu.eg/
extended memory,"Memory beyond one megabyte in 80286, 80386, 80486, and",https://damanhour.edu.eg/
extended network,The people in someone’s network -€” their Messenger and profile,https://damanhour.edu.eg/
extended partition,A type of partition that you can create only on basic master boot,https://damanhour.edu.eg/
extended permission,A permission that is specific to an object added to the standard,https://damanhour.edu.eg/
extended price,The item price that is entered on a purchase order.,https://damanhour.edu.eg/
Extended property,User-defined text (descriptive or instructional including input,https://damanhour.edu.eg/
Extended Protection for Authentication,A security feature that helps protect,https://damanhour.edu.eg/
extended registration,A registration that requires meeting participants or viewers of,https://damanhour.edu.eg/
when logging in to the Live Meeting service.extended selection,A selection technique that is optimized for the selection of a,https://damanhour.edu.eg/
extended stored procedure,A function in a dynamic link library (DLL) that is coded,https://damanhour.edu.eg/
extended verb,A verb (shortcut menu item) that is invoked by a Shell object when a,https://damanhour.edu.eg/
extended view,The display of additional data or information that does not appear in,https://damanhour.edu.eg/
extended-selection list box,"A list box that supports multiple selection, but is",https://damanhour.edu.eg/
extender control,"In ASP.NET, a control that encapsulates functionality that is",https://damanhour.edu.eg/
extender object,"An object implemented by the container, generally by aggregating",https://damanhour.edu.eg/
extensibility,The capacity to extend or stretch the functionality of the development,https://damanhour.edu.eg/
extensibility application,An external software application that adds a new service or,https://damanhour.edu.eg/
Extensible Application Markup Language,An XML-based language used to,https://damanhour.edu.eg/
eXtensible Business Reporting Language,An XML language for the electronic,https://damanhour.edu.eg/
Extensible Firmware Interface,"A type of interface between a computer, firmware,",https://damanhour.edu.eg/
Extensible Firmware Interface system partition,A small portion on a GUID,https://damanhour.edu.eg/
Extensible HTML,A markup language that extends HTML and reformulates it as,https://damanhour.edu.eg/
Extensible Markup Language,A markup language for describing and exchanging,https://damanhour.edu.eg/
eXtensible Metadata Platform,An extensible markup language that records,https://damanhour.edu.eg/
extensible rights markup language,A proposed standard digital rights management,https://damanhour.edu.eg/
Extensible Storage Engine,A method that defines a low-level API to the,https://damanhour.edu.eg/
Extensible Stylesheet Language,An XML vocabulary that is used to transform XML,https://damanhour.edu.eg/
Extensible Stylesheet Language Transformations,"A declarative, XML-based",https://damanhour.edu.eg/
extension,A set of characters added to the end of a file name that identifies the file,https://damanhour.edu.eg/
Extension,"The part of a PC filename after the dot (.), often used to tell Windows what",https://damanhour.edu.eg/
extension handler,A handler that specifies additional actions to be taken on Shell,https://damanhour.edu.eg/
extension method,A static method that can be invoked by using instance method,https://damanhour.edu.eg/
extension point,A location within a use case at which an action sequence from,https://damanhour.edu.eg/
extent,The width or height of the viewport.,https://damanhour.edu.eg/
external,Imported from an accounting system. Refers to the product or service item,https://damanhour.edu.eg/
external access,Authenticated access that can be granted to external partners and,https://damanhour.edu.eg/
External Application XML,XML that provides information about an external,https://damanhour.edu.eg/
External Cache 1.0,A disk-based cache module for IIS 7 that is used to manage thehost name affinity data between multiple instances of Application Request Routing (ARR),https://damanhour.edu.eg/
external contact,People outside the Outlook Live organization who can be added to,https://damanhour.edu.eg/
External Contacts,A privacy relationship setting that allows a small amount of,https://damanhour.edu.eg/
external content type,"An object (such as a customer, item, or employee) that",https://damanhour.edu.eg/
External Content Type Collaboration,A feature that turns on the Collaborate On,https://damanhour.edu.eg/
External Content Type data source,A type of data source used to connect to an,https://damanhour.edu.eg/
External Content Type Designer,A modeling tool in SharePoint Designer that,https://damanhour.edu.eg/
External Content Type Picker,?A BCS feature that allows users of a composite,https://damanhour.edu.eg/
external context,"In the Concurrency Runtime, a context that is created by an",https://damanhour.edu.eg/
external customer,An outside organization or individual that submits a sales order,https://damanhour.edu.eg/
external data,Data that is stored outside of the application that is currently in use.,https://damanhour.edu.eg/
external data column,A column type that allows data from external systems to be,https://damanhour.edu.eg/
External Data Grid,A Web Part that displays a list of external items from a,https://damanhour.edu.eg/
External Data Grid Web Part,A Web Part that displays a list of external items,https://damanhour.edu.eg/
External Data Item,A Web Part that can display a single item in an external list.,https://damanhour.edu.eg/
External Data Item Builder,A Web Part that creates an external item based on,https://damanhour.edu.eg/
External Data Item Builder Web Part,A Web Part that creates an external item,https://damanhour.edu.eg/
External Data Item Web Part,A Web Part that can display a single item in an,https://damanhour.edu.eg/
external data part,A set of controls that interact with external data through BCS.,https://damanhour.edu.eg/
external data provider,"A business entity, typically a company, that provides up to",https://damanhour.edu.eg/
date data to a Microsoft Dynamics CRM user.external data range,A range of data that is brought into a worksheet but that,https://damanhour.edu.eg/
External Data Related List,A Web Part that displays a list of related external,https://damanhour.edu.eg/
External Data Related List Web Part,A Web Part that displays a list of related,https://damanhour.edu.eg/
External Data Web Parts,Out-of-the-box Web Parts that are shipped as part of,https://damanhour.edu.eg/
external database,The source of the table that is to be linked or imported to the,https://damanhour.edu.eg/
external delivery system,"A system, such as Microsoft Exchange Server, that delivers",https://damanhour.edu.eg/
external dependency,A relationship in which the start or finish date of a task,https://damanhour.edu.eg/
external display,A computer monitor that supplements the main monitor.,https://damanhour.edu.eg/
external drive,A stand-alone drive that is externally connected by a cable to the,https://damanhour.edu.eg/
external endpoint,The endpoint on which a role instance receives inbound traffic.,https://damanhour.edu.eg/
external hyperlink,A hyperlink pointing to a page or file that is outside of the,https://damanhour.edu.eg/
External Identity Authentication,In the Multi-Factor Authentication service of the,https://damanhour.edu.eg/
external item,An specific occurence of an external content type.,https://damanhour.edu.eg/
External Item Picker,A BCS feature that allows users of a composite solution to,https://damanhour.edu.eg/
external key,"A file that contains information to access cryptographically locked data,",https://damanhour.edu.eg/
external key file,A file that contains the external key and is stored on an external,https://damanhour.edu.eg/
external list,A Windows SharePoint Services or SharePoint Server list from an,https://damanhour.edu.eg/
external list deployment,"Automated deployment of a simple solution for BCS, using",https://damanhour.edu.eg/
external load balancer,A load-balancing mechanism that is located externally to a,https://damanhour.edu.eg/
external network number,A 4-byte hexadecimal number used for addressing and,https://damanhour.edu.eg/
external port,A port on a computer that is available on the Internet.,https://damanhour.edu.eg/
external predecessor,A predecessor to a task in the current project that resides in,https://damanhour.edu.eg/
"another project, represented by a task that appears dimmed in the task list.external project",A project with a direct customer relation.,https://damanhour.edu.eg/
External sharing,A feature that manages the ability to share various components,https://damanhour.edu.eg/
external source system,"A data repository, such as a data warehouse, data mart, or",https://damanhour.edu.eg/
external storage card,A device for data storage that is external to a computer’s main,https://damanhour.edu.eg/
external style,A style in an external style sheet.,https://damanhour.edu.eg/
external style sheet,A cascading style sheet (CSS) in a file with a .css file name,https://damanhour.edu.eg/
external successor,A successor to a task in the current project that resides in another,https://damanhour.edu.eg/
External System,A supported source of data that can be modeled by Business,https://damanhour.edu.eg/
external table,A table outside the open database or project.,https://damanhour.edu.eg/
external task,"A task that represents a linked task in another project, providing an",https://damanhour.edu.eg/
external URL mapping,A URL mapping for objects that are not part of the WSS,https://damanhour.edu.eg/
external user,A user who connects to an account from outside the firewall.,https://damanhour.edu.eg/
external user invitation report,"A report that lists the email address, invitation date,",https://damanhour.edu.eg/
external virtual network,A virtual network configured to use a physical network,https://damanhour.edu.eg/
extra color,A color that is not part of a color scheme.,https://damanhour.edu.eg/
extra-bold,Having a font weight that corresponds to a weight class value of 800,https://damanhour.edu.eg/
extract,To remove or duplicate items from a larger group in a systematic manner.,https://damanhour.edu.eg/
complete processing.extraction rule,A rule that copies a string from a Web test response and puts it in the,https://damanhour.edu.eg/
"extraction, transformation, and loading",The act of extracting data from various,https://damanhour.edu.eg/
extra-light,Having a font weight that corresponds to a weight class value of 200,https://damanhour.edu.eg/
extranet,An extension of an organization’s intranet used to facilitate communication,https://damanhour.edu.eg/
Extranet,A virtual intranet. Companies desiring an intranet but not having the internal,https://damanhour.edu.eg/
Extras Library,A renaming of the Vista Program Library experience that,https://damanhour.edu.eg/
extrinsic event,An extrinsic event is a predefined occurrence that cannot be linked,https://damanhour.edu.eg/
eyeballs,an industry term for the raw number of people who look at a website.,https://damanhour.edu.eg/
