Термин,Определение,Категория,Источник
Data Maturity,"An assessment of the aggregate Data Capabilities of an organisation, typically with reference to a Data Capability Framework. Ordered tiers of Data Maturity can be used to form a Data Maturity Model, which allows organisation to see where currently sits versus where it aspires to be with respect to data.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-maturity
Data Maturity Model,"A diagram cataloguing of a number of strata of high-level Data Maturity levels, presented in order from less mature to more mature and often employing visual metaphors such as ladders or staircases. Where an organisation currently sits with respect to its overall Data Maturity may be plotted on such an exhibit and often contrasted with their aspirations for future enhanced Data Maturity. Such a model is generally based on a Data Capability Framework and forms one output from a Data Capability Review.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-maturity-model
Data Migration,"The process of moving Data from one place to another, often a legacy system to a new one, or from old Data Repositories to a new one. This requires a very good understanding of the structure of Data in both the source and target systems and may involve elements of Data Integration.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-migration
Data Mining,"The process of sifting through generally large Data sets to discern meaning, uncover new facts and relationships and establish useful patterns. There is a connection here to some of the activities carried out by Data Scientists, though some aspects of Data Mining may be automated. Data Mining may leverage Big Data implementations, but has been carried out successfully on other types of Databases for many years before the advent of these.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-mining
Data Model,"A Data Model is a diagram which documents how various elements of Data (e.g. a business entity, such as “customer” or a more physical entity such as a set of “customer” Tables) fit together with other elements (e.g. “customer orders”) and relate to whatever is being modelled, e.g. a business process or type of transaction. Data Models can have different levels of abstraction. Some may deal only with high-level business descriptions, others may delve into how these are represented in actual Databases.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-model
Data Modelling,"The process of examining Data sets (e.g. the Database underpinning a system) in order to understand how they are structured, the relationships between their various parts and the business entities and transactions they represent. While system Data will have a specific Physical Data Model (the tables it contains and their linkages), Data Modelling may instead look to create a higher-level and more abstract set of pseudo-tables, which would be easier to relate to for non-technical staff and would more closely map to business terms and activities; this is known as a Conceptual Data Model. Sitting somewhere between the two may be found Logical Data Models. There are several specific documents produced by such work, one of the most common being an Entity-Relationship diagram, e.g. a sales order has a customer and one or more line items, each of which has a product.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-modelling
Data Operating Model,"An Operating Model is a description of how an organisation works; the things it does, the way that it does them and the people, process and technology involved. There is often a focus on the value delivered. As well as describing the current state, Operating Models are often developed as a guide to a desired future state; in this circumstance the term Target Operating Model (or TOM) is often employed. TOMs are often drawn up as a precursor to transformation programmes or organisational redesign.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-operating-model
Data Owner,"A senior person (often an Executive or other Senior Manager) who is accountable for one or more Data Assets in an organisation. This is generally as part of a Data Governance Framework. Areas that a Data Owner would be responsible for might include: Information Security, Data Privacy, Data Quality and more general Data Controls. They may also be accountable for driving adoption of data facilities (such as a new Dashboard) and realisiation of benefits to do with data (e.g. improved results in their area of the business due to the application of Analytics).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-owner
Data Platform,"A Data Repository, together with the software tools, (optionally) code environment and interfaces necessary to Populate it, manage it and Integrate it with other Repositories and/or systems. Data Platforms may also contact Analytical or Reporting capabilities, or easy integration with these. It should be evident that a Data Platform has much greater functionality than just a Database.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-platform
Data Processor,"Under GDPR, a Data Processor is an organisation who sub-contracts work processing data beloning to individuals (Subjects) for a second organisation, which has the primary relationship with their Subjects. The second organisation defines how Subject data is to be processed by the Data Processor an is called a Data Controller.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-processor
Data Privacy,"This pertains to Data held by organisations about individuals (customers, counterparties etc.) and specifically to Data that can be used to identify people (personally identifiable Data), or is sensitive in nature, such as medical records, financial transactions and so on. There is a legal obligation to safeguard such Information and many regulations around how it can be used and how long it can be retained. Often the storage and use of such Data requires explicit consent from the person involved.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-privacy
Data Protection,Data Protection is in many ways synonymous with Data Privacy. The term is used most often in connection with the European Union’s General Data Protection Regulation (GDPR).,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-protection
Data Protection Officer (DPO),"GDPR mandates that certain types and sizes of organisation appoint a Data Protection Officer (DPO). This is a senior manager accountable for compliance with GDPR. Many organisations not specifically covered by this GDPR mandate have nevertheless chosen to create DPO roles. DPOs tend to collaborate closely with other data-centric roles, such as Chief Data Officers and Information Security personnel.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-protection-officer
Data Quality,The characteristics of Data that cover how accurately and completely it mirrors real world events and thereby how much reliance can be placed on it for the purpose of generating Information and Insight. Enhancing Data Quality should be a primary objective of Data Management teams. Ways that this can be achieved include:,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-quality
Data Roadmap,A high-level vision / plan for how to enact a Data Strategy. This will normally cover major workstreams and objectives and will typically cover a number of years.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-roadmap
Data Repository,"A generic term for any structure for holding a collection of, normally related, Data. This would encompass Databases, Data Lakes, Data Marts and Data Warehouses.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-repository
Data Science,"Data Science is a term that covers a range of activities from the collection, transformation and combination of data, through exploring this to derive Insight, to applying similar Statistical techniques to those used in actual science to identify patterns, exceptions or relationships, ones that would often not be apparent via normal Data Analysis. It also encompasses developing Statistical Models, fed by the data collected, and leveraging more advanced techniques from the previously academic field of Artificial Intelligence, including Machine Learning, Natural Language Programming and others. It also includes is the presentation of either data or the output of models using either traditional techniques, such as Dashboards, or more advanced Data Visualisations.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-science
Data Scientist,Someone au fait with exploiting Data in many formats from Flat Files to Data Warehouses to Data Lakes. Such individuals possess equal abilities in the Data technologies (such as Big Data) and how to derive benefit from these via statistical modelling. Data Scientists are often lapsed actual scientists.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-scientist
Data Scrubbing,A vigorous (sometimes too vigorous) form of Data Cleansing.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-scrubbing
Data Service,"The provision of Data (or higher-value Information) by a Service, a dedicated piece of code whose sole purpose is to provide the Data it covers when requested by another piece of code. A Data Service will be implemented in a “black box” manner, the code that calls it does not need to know anything about how the Data Service sources or manipulates its Data, just how to call it and what it returns. Data Services are just one type of service which form part of a Service-oriented Architecture, one in which different applications communicate seamlessly with each other.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-service
Data Sourcing,"Data Sourcing is the process of acquiring Data from various Data Repositories, Databases underpinning Transactional Systems, web-site logs or other flat-file outputs, APIs, or external data sources. This can be done on a one-off basis or regularly, e.g. weekly. Typically the data sourced would be saved somewhere for later use (e.g. a spreadsheet or another Database), but equally just the rules and processes needed to acquire it may be saved allowing these to be run on demand.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-sourcing
Data Steward,"This is a concept that arises out of Data Governance. It recognises that accountability for things like Data Quality, metadata and the implementation of Data policies needs to be devolved to business departments and often locations. A Data Steward is the person within a particular part of an organisation who is responsible, on a day-to-day basis, for ensuring that their Data is fit for purpose and that their area adheres to Data policies and guidelines.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-steward
Data Strategy,"Unsurprisingly, this is strategy applied to Data. My definition of strategy is as follows:",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-strategy
Data Virtualisation,"If the Data Warehouse paradigm is to gather all source Data together in one place, Data Virtualisation instead leaves it where it was (or – more likely – in mirror copies of each system’s Data, in order to prevent transaction processing from being impacted by queries) and instead brings the Data together only when read. The term Virtualisation arises because this is like creating a virtual Data Warehouse.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-virtualisation
Data Visualisation,Techniques – such as graphs – for presenting complex Information in a manner in which it can be more easily digested by human observers. Based on the concept that a picture paints a thousand words (or a dozen Excel sheets).,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-visualisation
Data Warehouse,"A Database holding Data from many disparate sources in a common format which allows the comparison of apples and oranges. A regular warehouse is a big building in which many things may be stored, but which has an indexing system which allows them to be located and retrieved easily. A Data warehouse is essentially the same concept. Good Data Warehouses have business meaning “baked” into them. Data Warehouses generally follow a Multidimensional Paradigm (related to OLAP) where Data is held in Fact Tables (tables covering numbers such as revenue or costs) and Dimensions (things we want to view the facts by, such as region, office, or week).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-warehouse
Data Warehouse Appliance,A dedicated server which is tuned to carry out Analytical tasks very quickly. Transactional servers will be tuned to either create new records or update existing ones. Appliances are tuned to select all records with a given attribute quickly. This is often achieved by using Massively Parallel Processing. Products from IBM Netezza and TeraData are examples of Data Warehouse Appliances.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#dwa
Data Wrangling,Contributor: Tenny Thomas Soman,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-wrangling
Decision Model (Decision Tree),"The term Decision Model is used in many contexts. Generally this is a tree-like structure with a Yes / No decision (or similar binary outcomes) at each branching point together with rules or questions to determine which path is taken. However, some Decision Models instead essentially look to Optimise a set of variables in order to reach some outcome (or avoid some other one). Broadly Decision Models are designed to help determine the best course of action in a given set of circumstances. From a Data & Analytics point of view, Decision Model refers to a model which employs Predictive Analytics to guide either each of the Yes / No decisions or the Optimisation process. Such models are typically iterative in nature.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#decision-model
Decision Tree,See: Decision Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#decision-tree
Deep Learning (Deep Neural Network),Deep Learning is a subset of Machine Learning. Its main feature leads to an alternative description of Hierarchical Learning.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#deep-learning
Deep Neural Network,See: Deep Learning.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#deep-deep-neural-network
Digital [Department],"Digital is the name often given nowadays to the part of a company that deals with its web-presence and mobile applications; i.e. is concerned with creating content for web-sites and tablets. Historically, Digital used to be a preserve of the IT function, often it is now a stand-alone area, often closely aligned with, or indeed part of, Marketing. A Digital department will have its own in-house people, but will often outsource most of the heavy lifting to one or more Digital Agency, which will have the whole range of capabilities from design and creatives to build and run.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#digital
Dimension,See Multidimensional Approach.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#dimension
Distributed Data,"Data held across multiple computers, generally coupled with software which makes this seem as if it was held in one place.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#distributed-data
ELT,See Extract Load Transform.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#elt
Embedded BI / Analytics,"Embedded BI or Embedded Analytics can refer to two things. First the situation where use of modern, easy-to-use tools and the business-centric and reconciled data underpinning them has become a part of the corporate DNA. In these circumstances, people would no more take a decision without finding out what the data tells them than they would forget to breathe.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#embedded-bi
End User Computing (EUC),"This is a term used to cover systems developed by people other than an organisation’s IT department or an approved commercial software vendor. It may be that such software is developed and maintained by a small group of people within a department, but more typically a single person will have created and cares for the code. EUCs may be written in mainstream languages such as Java, C++ or Python, but are frequently instead Excel- or Access-based, leveraging their shared macro/scripting language, VBA (for Visual Basic for Applications). While related to Microsoft Visual Basic (the precursor to .NET), VBA is not a stand-alone language and can only run within a Microsoft Office application, such as Excel.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#end-user-computing
Enterprise Resource Planning (ERP),"Systems (or a single system) covering the Financial aspects of an organisations activities from Accounts Payable and Receivable to Fixed Asset Management, Cash Management and General Ledger functions / Corporate Consolidation.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#enterprise-resource-planning
ERP,See: Enterprise Resource Planning.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#erp
ETL,See: Extract Transform Load.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#etl
EUC,See: End User Computing.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#euc
Extract Load Transform (ELT),"Rather than the Extract Transform Load paradigm inherent in Data Warehousing, Big Data implementations tend to change the order of these processes. Data is “lifted and shifted” wholesale to a Big Data repository (e.g. a Data Lake) and held in original format. It is only transformed “on the fly” when needed by Data Scientists.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#extract-load-transform
Extract Transform Load (ETL),"Extract Transform and Load is the term applied to a class of software tools which pretty much do what you would expect from the name. They are designed to manage the process of taking Data from one Database, manipulating it so that it is consistent with a pre-defined structure, potentially combining it with Data from other Databases and loading it into areas of a Data Warehouse or Data Mart from which it can be leveraged by reporting and analysis tools.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#extract-transform-load
Explainable AI,Contributor: Tenny Thomas Soman,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#explainable-ai
Fact Table,See Multidimensional Approach.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#fact-table
Flat-file,"A simple text file stored directly on disk with no other structure (i.e. the file is not part of a Database). If you output and Excel sheet in comma separated format, this is one type of flat file.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#flat-file
Flink,"More properly Apache Flink. This is a framework for processing separate streams of Data, often for the purpose of supporting Complex Event Processing.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#flink
GDPR,See General Data Protection Regulation.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#gdpr
General Data Protection Regulation (GDPR),"This margin is too narrow to include a comprehensive review of the European Union’s General Data Protection Regulation, or GDPR. The tenacious and legally-minded may wish to review the entire text here. Broadly this regulation lays out the rights of individuals pertaining to their Personal Data, together with the permissible legal bases for organisations to store and use the same type of data.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#general-data-protection-regulation
Genetic Algorithm,"A Genetic Algorithm is a technique employed in Optimisation problems (e.g. in Machine Learning). It uses principles similar to those seen in Darwinian Natural Selection. At one iteration, the most successful pairs of solutions are selected from the population (based on some success criteria) and combined randomly (mated one might say). The resulting progeny become the population for the next iteration. The success criteria (fitness in Darwinian terms) ensures that solutions that increase this survive, while ones that don’t face extinction.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#genetic-algorithm
Geospatial Data,"Geospatial Data is data that has a connection with an explicit location. Examples might include: data that is tagged with latitude and longitude, or data that includes a postal code, or data that references a National grid reference (e.g. Ordnance Survey maps in the UK). Such references obviously allow Data to be plotted on maps or used in other geographic Data Visualisations.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#geospatial-data
Geospatial Tool,"Software explicitly designed to display Geospatial Data, frequently (as might be expected) overlaid on maps, topgraphy and / or satellite imagery.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#geospatial-tool
Graph,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#graph
Graph Database,"Graph Databases consist of networks of nodes and relationships between them (mirroring the concept of a Graph in discrete mathematics, which is somewhat different to an Excel chart). The nodes contain information about entities, e.g. a trading companies, and the relationships capture how nodes are connected in different ways, e.g. supplier / customer. This way of modelling Data is beneficial when complex Data (e.g. all elements of a multi-tiered hierarchy) is to be retrieved en masse.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#graph-database
Hadoop,"More properly Apache Hadoop. This is the most widely used framework for Big Data and is derived from Google’s initial work in the area. It is an Open Source Data platform with an increasingly rich hinterland of add-on capabilities, e.g. in the areas of Statistical Analysis and Data Visualisation. Hadoop represents one type of NoSQL Database.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#hadoop
HDFS,"Hadoop Distributed File Store. The underpinning storage mechanism of Hadoop, a descendent of Google’s Big Table.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#hdfs
Hierarchical Database,"Hierarchical Databases store Data in structures that resemble inverted trees (maybe family trees is a better analogy). These were among the first commercially available Databases, having been developed in the 1960s. Hierarchical Databases have typically been found on large mainframe computers. Although perhaps perceived as legacy software, many companies still operate these Databases which are reliable and highly performant. Issue arise due to the lack of flexibility with which Data can be extracted, something that tends to require specialist programming.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#hierarchical-database
Histogram,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#histogram
Hive (HiveQL),"More properly Apache Hive. This is part of the Hadoop suite, which aims to deliver Data Warehouse-like functionality, including Tables and a SQL-like query language, HiveQL.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#hive
Image Recognition (Computer Vision),"This sub-discipline of Artificial Intelligence relates to computers and / or software interpreting images, be that fixed ones (like a photograph), moving ones (like a video feed) of even 3D images (like output from a CT Scan). The facial recognition software used for everything from identifying people in a crowd to unlocking your smartphone is one example. When paired with robotics, Image Recognition can help a robot to interact with its environment by understanding it better. For example, tracking a ball in flight and then catching it.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#image-recognition
Infographic,"Infographic is a portmanteau of Info-[rmation] + Graphic. They are intended to present data or knowledge concisely in and a visual form, which is easily digestible by viewers. While the term can be used broadly to include iconic images such as the London Tube Map, the inexorable rise of Social Media has led to Infographic being frequently applied to a specific sub-form, poster-like images providing the essentials about a subject. Examples of this sub-form may be viewed in The Big Data Universe, How Age was a Critical Factor in Brexit and Scienceogram.org’s Infographic to celebrate the Philae landing.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#infographic
Information,"Information is the first stop in the journey from Data to Information to Insight to Action. Data may be viewed as raw material, which needs to be refined in order to be useful. Information can be thought of as Data enhanced with both relationships and understanding of context. To offer a simple (if possibly also simplistic) example, the fields PID = 201705, BRNID = 12 and TOTSAL = 45766 are Data. The statement “The total sales for the Glasgow Branch in May 2017 amounted to £45,766” is Information; so is the fact that these are up 2% from the previous month and 5% up from the same month in the previous year.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#information
Information Governance,"Data Governance concerns itself with the availability, accuracy, consistency and provenance of Data. This is essentially about facilitating the use of Data and endeavouring to ensure that this leads to good decision-making. Information Governance extends this to consider constraints on the use of Data. These can include Information Security and Data Privacy. Accountability for regulatory and other compliance will generally also fall in this area. Data Governance protects the organisation’s Data and ensures it is fit for use. Information Governance protects the organisation, its customers / business partners and ensures their Data is used in an ethical and legal manner.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#information-governance
Information Security,"Information Security consists of the steps that are necessary to make sure that any Data or Information, particularly sensitive Information (trade secrets, financial Information, intellectual property, employee details, customer and supplier details and so on), is protected from unauthorised access or use. Threats to be guarded against would include everything from intentional industrial espionage, to ad hoc hacking, to employees releasing or selling company information. The practice of Information Security also applies to the (nowadays typical) situation where some elements of internal Information is made available via the internet. There is a need here to ensure that only those people who are authenticated to access such Information can do so.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#information_security
In-memory,"In a computer, Data is typically stored on some long-term media (a hard disk or solid-state drive), but needs to be brought into short-term memory in order to be accessed by the processing unit. So a cycle might be read two records from disk, load them into memory, change some value on each of them and write back to disk. There are inherent time lags in such arrangements (even with solid-state drives).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#in-memory
Internet of Things,A term related to the increasingly vast amounts of Data generated by machines and the linkage of this to the Internet (e.g. Tesla self-driving cars rely upon Data captured by other Tesla cars as well as many other Data sources).,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#iot
Insight,"Insight is the second stopping point on the journey from Data to Action, though (as per my model) a short-cut from Data to Insight may be taken sometimes. If Data might consist of the fields PID = 201705, BRNID = 12 and TOTSAL = 45766 and Information mighty be conveyed by the statement that “The total sales for the Glasgow Branch in May 2017 amounted to £45,766”, then Insight might be that increase in sales has been strongest in the 18-25 age bracket where buyers have a strong interest in personal health and fitness.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#insight
Key Performance Indicator (KPI),"Those measurements of performance that are most crucial to the understanding and monitoring the performance of a whole organisation or of parts of it. The “K” is important, measurements that are merely interesting or of some use are Performance Indicators (PIs), not KPIs; though a Divisional or Country KPI may be just a PI at Group or Head Office level. Ideally the number of KPIs should be kept relatively small to aid monitoring and also communication about why they are important. KPIs often form the basis of Dashboards.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#key-performance-indicator
KPI,See: Key Performance Indicator.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#kpi
Line Chart,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#line-chart
Linear Regression,See Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#linear-regression
Logistic Regression,See Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#logistic-regression
Logistic Regression,See Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#logistic-regression
Machine Learning,"An Artificial Intelligence technique, which employs large Data sets (thus the link to Big Data) to “train” Algorithms to recognise patterns and draw inferences. An example would be interpreting what is going on in a photo, e.g. “a boy is throwing a red ball”. Algorithms tuned by Machine Learning already routinely achieve super-human abilities, albeit in narrow contexts, such as face recognition. Generalised Machine Learning (where the code can adapt to learning many different things), like Generalised AI (effectively the creation of conscious AI entities), is some way off. Machine Learning typically leverages an area of mathematics call Linear Algebra.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#machine-learning
Management Information (MI),"Management Information is a term applied to any facts and figures gathered to support business decision-making. This is a broad term and could cover many different types of facts and figures. However nowadays, MI is often taken to mean more traditional facts and figures, ones that appear on Reports or Dashboards and which are essentially created by adding up figures. Examples would include: various types of reports Financial reports, Sales reports, Workflow reports and so on.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#management-information
Map Chart,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#map-chart
MapReduce,"Google’s original process (now leveraged in Hadoop and elsewhere) for breaking a task into component parts, running each of these (together these comprise the Map element) and combining the results (the Reduce element). Comparable to Massively Parallel Processing. Google has since moved on to more advanced processes for its Big Data work.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#mapreduce
Materialised View,See View.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#materialised-view
Massively Parallel Processing (MPP),"A technique (and hardware embodying this) which splits a task into segments, each of which is carried out by a single processing unit, with the process being coordinated and results consolidated by controlling software.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#massively-parallel-processing
Master Data,"Master Data can perhaps be best described as reference Data, though other epithets are often applied, such as lookup Data (which probably makes most sense to those with an Excel background) standing Data and standard Data. Some Data will tell you about dynamic things, such as the product prices associated with a sale; here price could take a very wide range of values. By way of contrast, Master Data tells you about the more permanent things that the sale is associated with. These might include the office and salesperson, the type of product sold, the customer, and so on. Each of these will have a much smaller range of possible values than our example of price and it is generally important that correct values are assigned.",Analytics,None
Master Data Management (MDM),"Master Data Management is the term used to both describe the set of process by which Master Data is created, changed and deleted in an organisation and also the technological tools that can facilitate these processes. There is a strong relation here to Data Governance, an area which also encompasses broader objectives. The aim of MDM is to ensure that the creation of business transactions results in valid Data, which can then be leveraged confidently to create Information.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#master-data-management
MDM,See: Master Data Management.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#mdm
Measure,See Multidimensional Approach.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#measure
Metadata,"Data about Data. So descriptions of what appears in fields, how these relate to other fields and what concepts bigger constructs like Tables embody. This helps people unfamiliar with a Dataset to understand how it hangs together and is good practice in the same way that documentation of any other type of code is good practice. Metadata can  be used to support some elements of Data Discovery by less technical people. It is also invaluable when there is a need for Data Migration.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#metadata
MI,See: Management Information.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#mi
Model (Statistical Model),"A mathematical representation of some physical process (e.g. the mortality and morbidity of a population with certain attributes). Some Models may have no statistical element, e.g. cash-flow models in Finance. However many models use statistical methods to derive approximations of future events based on past events, or to better understand the underlying mechanics of past events.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#model
MPP,See: Massively Parallel Processing.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#mpp
Multi-dimensional Approach,"A Multidimensional Database is one which is structured in a way that most directly supports the related concept of On-line Analytical Processing (or OLAP). The multidimensional approach concentrates transactional Data (or sometimes this aggregated into balances) into a single Table called a Fact Table, which contains all pertinent Measures for an area of analysis together with links to relevant Dimensions (see below for definitions of these terms). Creating a Multidimensional Database from source Data that is structured differently is the province of Extract Transform and Load tools. Once built Information may be retrieved very quickly and users may flexibly manipulate and filter the Data in a way that makes sense to them. By way of very direct analogy, it may take quite some time to construct all of the Data that goes into an Excel pivot table, but then the pivot table can be used in a number of different ways.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#multidimensional-approach
Multivariate Analysis,See Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#multivariate-analysis
– N –,"An area of Artificial Intelligence research that is also a subset of Linguistics. It focusses on two main topics. First, developing software that can parse human speech or writing (see Text Analytics) in order to form an understanding of the meaning it conveys. Second, the same software generating credible and pertinent responses to such input. Nirvana for NLP would be a software agent that was indistinguishable from a human in conversation (also known as passing the Turing Test).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#natural-language-processing
Natural Language Processing (NLP),"An area of Artificial Intelligence research that is also a subset of Linguistics. It focusses on two main topics. First, developing software that can parse human speech or writing (see Text Analytics) in order to form an understanding of the meaning it conveys. Second, the same software generating credible and pertinent responses to such input. Nirvana for NLP would be a software agent that was indistinguishable from a human in conversation (also known as passing the Turing Test).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#natural-language-processing
Neural Network,See Deep Learning.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#neural-network
NLP,See: Natural Language Processing.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#nlp
NoSQL,Databases that are designed to store and retrieve very large volumes of Data and – as a result – do not use the more general SQL query language to read and write Data but instead their own specialist approaches. The various tools used in a Big Data implementation are examples of NoSQL.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#nosql
ODS,See: Operational Data Store.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#ods
OLAP,See: On-line Analytical Processing.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#olap
OLTP,See: On-line Transaction Processing.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#oltp
On-line Analytical Processing (OLAP),"A rather clumsy term that arose out of On-line Transaction Processing, the latter being is what most systems support. OLAP describes structuring Data in a manner which facilitates analysis. This consists of defining Dimensions (the things we want to view Information by, such as Product, Month, Customer etc.) and Measures (the numbers we want to view, such as Sales, Returns, EBITDA etc.). This drives the Multidimensional Approach, which also underpins the design of Data Warehouses.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#online-analytical-processing
On-line Transaction Processing (OLTP),"On-line Transaction Processing is a term applied to what most people would view as the central purpose of IT systems; i.e. recording business transactions. Most commercially available software systems fall into the OLTP category. OLTP Databases are optimised for entering Data, not for querying it, something that leads to the alternative On-line Analytical Processing paradigm.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#online-transaction-processing
